"id","name","type","firm","stage","thesis_fit","anchor_portfolio","source_url","contact_channel","contact_status","location","confidence"
"001","Naval Ravikant","angel","AngelList (co-founder) / personal angel","pre-seed","Backs category-defining consumer/prosumer software; early in Notion — exactly Verba's lane","Notion (2013 seed, confirmed)","https://en.wikipedia.org/wiki/Naval_Ravikant","warm intro (AngelList network)","à vérifier","San Francisco, USA","0.97"
"002","Sequoia Capital","VC","Sequoia Capital","seed","Led Linear's $4.2M seed — backs founder-led, design-obsessed prosumer productivity tools","Linear","https://linear.app/now/linear-s-next-chapter-announcing-our-usd4-2m-seed-round","warm intro","à vérifier","Menlo Park, CA","0.97"
"003","Y Combinator","accelerator","Y Combinator","pre-seed","Funded the voice-dictation cohort (Deepgram, Willow, Aqua Voice) at the earliest stage","Deepgram (YC company); Willow Voice (YC X25)","https://www.ycombinator.com/companies/deepgram","https://apply.ycombinator.com","verified","Mountain View, CA","0.97"
"004","Accel","VC","Accel","seed","Led the Mac-first productivity launcher Raycast at seed and doubled down to co-lead the Series A — exactly Verba's prosumer Mac lane","Raycast","https://www.raycast.com/blog/series-a","warm intro","à vérifier","London / Palo Alto","0.96"
"005","AI Grant","accelerator","AI Grant (Nat Friedman & Daniel Gross)","pre-seed / seed","AI-first accelerator (NFDG duo); $250K uncapped SAFE for AI-native builders. Granola Series A participant — bring-your-own-Claude AI-native is their bet","Granola (Series A participant); alumni Perplexity, Cursor","https://aigrant.org/","https://aigrant.org/ (public application)","verified","San Francisco, USA","0.95"
"006","Air Street Capital","micro-VC","Air Street Capital (Nathan Benaich)","seed","AI-first solo-GP fund — invests only where the product wouldn't function without AI (JARVIS fit)","Synthesia (AI video; backed from early stage)","https://press.airstreet.com/p/fund-iii","warm intro (airstreet.com; @nathanbenaich)","à vérifier","London, UK","0.95"
"007","Andreessen Horowitz (a16z)","VC","Andreessen Horowitz","seed / early","Led Mem's $5.6M seed and Rewind/Limitless seed — deep conviction in on-device/prosumer AI productivity","Mem ($5.6M seed lead) & Rewind/Limitless ($10M seed)","https://techcrunch.com/2021/04/06/note-taking-app-mem-raises-5-6-million-from-andreessen-horowitz/","warm intro","à vérifier","Menlo Park, USA","0.95"
"008","Dylan Field","angel","Figma (co-founder/CEO) / personal angel","seed","Product-instinct angel across dev tools + AI productivity; backed Mac-first terminal Warp and AI app Huxe","Warp / Huxe / Loom (all confirmed)","https://www.hustlefund.vc/post/angel-squad-dylan-field-investments-the-thiel-fellow-who-built-figma-from-a-dorm-room-idea-to-a-68-billion-ipo","warm intro (Figma network)","à vérifier","San Francisco, USA","0.95"
"009","Elad Gil","angel","solo GP / personal angel (now also a ~$3B fund)","seed","Wrote early seed checks to Perplexity, Character.AI and Harvey; premier AI-productivity operator-investor","Perplexity (also Harvey, Character.AI, Abridge)","https://techcrunch.com/2025/06/01/early-ai-investor-elad-gil-finds-his-next-big-bet-ai-powered-rollups/","warm intro (operator network)","à vérifier","San Francisco, USA","0.95"
"010","Guillermo Rauch","angel","Vercel (founder/CEO) / personal angel","seed","Mac-first/dev-prosumer + AI tooling angel; bottom-up tools builders love (BYO-model fits)","Granola (confirmed angel) / Amie / v0","https://signal.nfx.com/investors/guillermo-rauch","warm intro (X @rauchg / Vercel network)","à vérifier","San Francisco, USA","0.95"
"011","Kima Ventures","micro-VC","Kima Ventures (Xavier Niel)","pre-seed / seed","Fast standardized ~€150k first checks — built for indie/solo EU founders pre-traction","Algolia (developer/prosumer search; also PayFit, Wise)","https://www.kimaventures.com/","warm intro (kimaventures.com — ~2 deals/week, €150k tickets)","à vérifier","Paris, France","0.95"
"012","Lenny Rachitsky","angel","Lenny's Newsletter / personal angel (140+ investments)","seed","Top product-led angel; backs remarkable consumer products + AI productivity","Granola (confirmed) / Speak / Notion","https://lennyrachitsky.com/investing","lennyrachitsky.com/contact (contact page, no pitch form)","à vérifier","San Francisco, USA","0.95"
"013","Notable Capital","VC","Notable Capital (formerly GGV Capital US)","early","Led Wispr Flow's $25M round to build the voice OS; Hans Tung conviction on consumer voice productivity","Wispr Flow (led $25M, Nov 2025, $700M post-money)","https://techcrunch.com/2025/11/20/as-its-voice-dectation-app-takes-off-wispr-secures-25m-from-notable-capital/","warm intro","à vérifier","Menlo Park, CA","0.95"
"014","OpenAI Startup Fund","VC","OpenAI Startup Fund","early / seed","Led Mem's $23.5M round (AI note-taking); backs AI-native productivity apps on frontier models","Mem (led $23.5M round, Nov 2022)","https://techcrunch.com/2022/11/10/ai-powered-note-taking-app-mem-raises-23-5m-openai/","warm intro (no public submission form)","à vérifier","San Francisco, USA","0.95"
"015","Point Nine","VC","Point Nine Capital","seed","UX-first / consumerised SaaS thesis — prosumer product polish is core to their model","Zendesk (early seed backer; consumerised enterprise UX) — also Typeform, Clio","https://www.pointnine.com/companies","https://www.openvc.app/fund/Point%20Nine%20Capital","à vérifier","Berlin, Germany","0.95"
"016","Spark Capital","VC","Spark Capital","early","Led Granola's $20M Series A (Oct 2024) — backs design-led, Mac-first prosumer AI products of exactly Verba's shape","Granola (led Series A)","https://www.granola.ai/blog/series-a","warm intro","à vérifier","San Francisco / Boston","0.95"
"017","Tobi Lutke","angel","Shopify (founder/CEO) / personal angel","seed","Backs tools that improve builders' capability; angel in voice/AI-productivity workflow apps","Granola (confirmed) / Perplexity (confirmed)","https://techcrunch.com/2025/05/14/ai-note-taking-app-granola-raises-43m-at-250m-valuation-launches-collaborative-features/","warm intro (Shopify network)","à vérifier","Ottawa, Canada","0.95"
"018","Entrepreneur First","accelerator","Entrepreneur First","pre-seed","Pre-seed talent investor — funds founders pre-idea/pre-traction, has backed voice-AI directly","PolyAI (enterprise voice AI assistants; later backed by Khosla)","https://www.joinef.com/posts/updating-our-global-pre-seed-investment-offer/","public application (joinef.com — up to $250k pre-seed)","verified","London, UK","0.94"
"019","Betaworks","accelerator","Betaworks (Camp + Fund III)","pre-seed","Pre-seed/seed AI fund + Camp program; backed the AI notetaker category","Granola (AI meeting/voice notetaker)","https://techcrunch.com/2025/07/22/betaworks-third-fund-closes-at-66m-to-invest-in-early-stage-ai-startups/","https://www.betaworks.com/camp/application","verified","New York, NY, USA","0.93"
"020","Connect Ventures","VC","Connect Ventures","pre-seed / seed","Product-led / 'product-first' thesis — backs prosumer software with exceptional product feel","Typeform (product-led prosumer SaaS)","https://techcrunch.com/2023/09/05/connect-ventures-hits-80m-for-its-next-fund-says-the-bear-market-means-product-is-back-baby/","warm intro (connectventures.co)","à vérifier","London, UK","0.93"
